T:00017982-f332-4c70-bcc4-05a4c9ce3a62	A:00017982-F332-4C70-BCC4-05A4C9CE3A62
T:006efbb5-15cc-49f0-b101-2fdeb07960aa	A:006EFBB5-15CC-49F0-B101-2FDEB07960AA
T:008d56d1-5630-4f66-8fd7-d3feed157b7c	A:008D56D1-5630-4F66-8FD7-D3FEED157B7C
T:01fef346-cc90-4eda-84b2-c52301a1f5bc	A:01FEF346-CC90-4EDA-84B2-C52301A1F5BC
T:000b8eea-35e7-41ab-b82a-6c90be3a66e0	A:000B8EEA-35E7-41AB-B82A-6C90BE3A66E0
T:0093d70c-8d7f-4c46-a383-32bd30e26091	A:0093D70C-8D7F-4C46-A383-32BD30E26091
T:002554a8-bb9d-4f84-b27d-9dfa3b70c298	A:002554A8-BB9D-4F84-B27D-9DFA3B70C298
T:00185df7-74ed-4207-970e-7faf51990b9a	A:00185DF7-74ED-4207-970E-7FAF51990B9A
T:0040404c-06f5-4b00-9dda-36f0f96c600b	A:0040404C-06F5-4B00-9DDA-36F0F96C600B
T:001d9c94-7a55-4dd6-8f52-c3c55ceae600	A:001D9C94-7A55-4DD6-8F52-C3C55CEAE600
T:006204ea-cd26-43c6-8ddb-57509eef535b	A:006204EA-CD26-43C6-8DDB-57509EEF535B
T:006240bc-d57f-436e-9f93-1c1fb94485c5	A:006240BC-D57F-436E-9F93-1C1FB94485C5
T:0150e04b-ca82-464f-911a-1ce152f6245e	A:0150E04B-CA82-464F-911A-1CE152F6245E
T:00062336-928c-41db-a864-f2cb53814af6	A:00062336-928C-41DB-A864-F2CB53814AF6
T:001f4632-be8f-449f-88e8-037f04cb9e77	A:001F4632-BE8F-449F-88E8-037F04CB9E77
T:007f032e-251b-4051-a371-6c249171249c	A:007F032E-251B-4051-A371-6C249171249C
T:00616d44-bab1-496c-a66b-68f88363f57d	A:00616D44-BAB1-496C-A66B-68F88363F57D
T:00c65a12-ffc2-45bd-8b34-752b099d6210	A:00C65A12-FFC2-45BD-8B34-752B099D6210
